variable,relative_importance,scaled_importance,percentage
amplitude_MC,72.5734634399414,1.0,0.336659778478718
std_CQ,51.31944274902344,0.7071378478649175,0.2380648712161205
first_order_sensitivity_MC,44.25603103637695,0.6098101005335276,0.2052985333597021
first_order_sensitivity_CQ,11.14128303527832,0.1535173120750721,0.05168310427584199
second_order_sensitivity_CQ,7.400195121765137,0.10196833347893354,0.03432863656086181
second_order_sensitivity_MC,6.553826332092285,0.09030609842006428,0.030402431089376142
var_MC,6.003608226776123,0.08272456545696547,0.0278500338814902
var_CQ,5.533130168914795,0.07624178186691846,0.025667541394139508
mean_CQ,3.8427038192749023,0.05294915850963837,0.01782585197448938
median_CQ,2.324862003326416,0.03203460181076199,0.01078476194926507
amplitude_CQ,1.3542715311050415,0.01866069864814674,0.006282306673143194
mean_MC,1.2393616437911987,0.017077339085750532,0.005749253193614727
std_MC,1.2323318719863892,0.01698047486745913,0.005716642907342229
median_MC,0.794642448425293,0.010949490499139592,0.0036862530458951622
