variable,relative_importance,scaled_importance,percentage
second_order_sensitivity_CQ,5.28574275970459,1.0,0.2233804103430928
first_order_sensitivity_MC,2.6202199459075928,0.49571461666326566,0.11073293448330923
mean_CQ,2.2707436084747314,0.4295978279127679,0.09596373908165547
amplitude_MC,2.1193292140960693,0.4009520157228602,0.08956482580006271
var_MC,1.8011870384216309,0.3407632796951125,0.07611984124815233
median_MC,1.6977232694625854,0.3211891585805186,0.07174736604146895
std_CQ,1.6070530414581299,0.30403542406742945,0.06791555778701863
median_CQ,1.3076171875,0.2473857028133318,0.05526111980745647
var_CQ,1.2960089445114136,0.24518956056496496,0.05477054465084448
mean_MC,1.1979495286941528,0.2266378791315043,0.0506264624396837
amplitude_CQ,0.685928463935852,0.12976955086898465,0.028987975523152645
std_MC,0.6293455362319946,0.11906473032130069,0.02659672831656183
first_order_sensitivity_CQ,0.6257063150405884,0.11837623272373511,0.026442931440697398
second_order_sensitivity_MC,0.5179621577262878,0.09799231276915862,0.02188956303684335
